12 King St, Pasta Corner
48 George St, Harbour Grill
157 Redfern St, Sushi Topia
91 Crown St, Burger Barn
233 Oxford St, Noodle Garden
17 King William Rd, Tandoori Palace
64 Pitt St, Dumpling House
425 Cleveland St, Sushi Suma
302 Elizabeth St, Taco Fiesta
76 Railway Ave, Green Bowl Cafe
19 Market St, Pizza Planet
88 Sussex St, Curry Express
145 Victoria Rd, Seafood Shack
27 Harris St, Falafel Hub
310 George St, Ramen Works
54 Chapel St, BBQ Brothers
201 Kent St, Salad Station
73 Parramatta Rd, Wok This Way
16 George St, The Pancake Room
280 Broadway, Sushi Central
39 Bourke St, Kebab Kingdom
121 Liverpool St, Pasta Fresca
67 Campbell St, Pho Corner
490 King St, Burger Lane
25 Bridge Rd, Bento Box
333 George St, Golden Dragon
58 York St, Sushi Train House
14 Station St, Chili Basil
205 Queen St, Ocean Catch
99 Castlereagh St, Coffee & Croissant
